web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,lat,lon
1733470945-58,VW T5 2.5 TDI PD 4MOTION CAMPER WOHNMOBIL,CHF 21'800.–,184'000 km,Diesel,"BUZIBACHSTRASSE 47, 6023 ROTHENBURG",21800,184000,1,20000 - 49999,47.08992385864258,8.253633499145508
1733470952-61,ROLLER TEAM KRONOS 284 TL20,CHF 59'890.–,34'700 km,Diesel,"HAUPTSTRASSE 70, 8546 ISLIKON",59890,34700,1,50000 - 99999,47.54833221435547,8.849271774291992
1733470954-62,PILOTE V600G X-EDITION,CHF 62'500.–,17'500 km,Diesel,"RAPPERSWILERSTRASSE 50, 8630 RÜTI ZH",62500,17500,1,50000 - 99999,47.255882263183594,8.845612525939941
1733470956-63,VW CALIFORNIA OCE. LIB 4M A,CHF 58'900.–,42'300 km,Diesel,"OHRBÜHLSTRASSE 37, 8409 WINTERTHUR",58900,42300,1,50000 - 99999,47.50075149536133,8.767881393432617
1733470958-64,VW TYP 2 REIMO HOCHDACH,CHF 19'900.–,169'580 km,Benzin,"BREITENSTRASSE 1, 8725 GEBERTINGEN",19900,169580,0,0 - 19999,47.25289535522461,9.001060485839844
1733470961-65,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY 4MOTION,CHF 71'900.–,21'000 km,Diesel,"ST. GALLERSTRASSE 99, 9032 ENGELBURG",71900,21000,1,50000 - 99999,47.43525695800781,9.349658966064453
1733470963-66,FIAT PILOTE G740 C,CHF 72'900.–,36'000 km,Diesel,"RTE DE GOLLION 15, 1305 PENTHALAZ",72900,36000,1,50000 - 99999,46.60051727294922,6.5255560874938965
1733470965-67,LAIKA,CHF 23'900.–,163'290 km,Diesel,"TANNBACHSTRASSE 2, 6264 PFAFFNAU",23900,163290,1,20000 - 49999,47.23344039916992,7.90991735458374
1733470970-69,CHALLENGER 620,CHF 22'500.–,139'890 km,Diesel,1350 ORBE,22500,139890,1,20000 - 49999,46.73106002807617,6.534222602844238
1733470973-70,DETHLEFFS FIAT 3L IVECO,CHF 59'800.–,57'000 km,Diesel,"DORF 10, 9127 ST. PETERZELL",59800,57000,1,50000 - 99999,47.31846237182617,9.172804832458496
1733470975-71,FIAT DUCATO,CHF 26'900.–,28'652 km,Diesel,"INDUSTRIEWEG 14, 3426 AEFLIGEN",26900,28652,1,20000 - 49999,47.09516906738281,7.561470985412598
1733470977-72,ROLLER TEAM ZEFIRO 285 TL15,CHF 64'890.–,31'300 km,Diesel,"HAUPTSTRASSE 70, 8546 ISLIKON",64890,31300,1,50000 - 99999,47.54833221435547,8.849271774291992
1733470982-73,MERCEDES-BENZ 312D KAISER,CHF 21'800.–,154'000 km,Diesel,"RIEDEN 10, 6370 STANS",21800,154000,1,20000 - 49999,46.965248107910156,8.383917808532715
1733470986-74,DETHLEFFS GLOBETRAIL 600 DR,CHF 85'000.–,23'000 km,Diesel,"OBERMÜHLEWEG 5, 7302 LANDQUART",85000,23000,1,50000 - 99999,46.955711364746094,9.570183753967285
1733470988-75,FIAT I675,CHF 30'000.–,111'000 km,Diesel,"INDUSTRIESTRASSE 6, 8604 VOLKETSWIL",30000,111000,1,20000 - 49999,47.382022857666016,8.666350364685059
1733470991-76,SUN LIVING V-SERIES V60 SP TENTOP (A245),CHF 65'900.–,22'000 km,Diesel,"WANNENWEG 1, 4133 PRATTELN",65900,22000,1,50000 - 99999,47.523582458496094,7.711702823638916
1733470995-78,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY 4MOTION,CHF 69'000.–,98'000 km,Diesel,"ROUTE DE LA GARE 62, 1690 VILLAZ-ST-PIERRE",69000,98000,1,50000 - 99999,46.71854782104492,6.959683418273926
1733470998-79,VW CALI. BITDI OCE. LIB 4M A,CHF 79'900.–,12'300 km,Diesel,"RUE DE VUIPPENS 57, 1630 BULLE",79900,12300,1,50000 - 99999,46.62849044799805,7.060698986053467
1733471003-81,FIAT KNAUS CÉLÉBRÂT 650MEG,CHF 41'900.–,182'000 km,Diesel,"RUE CENTRALE 7, 1563 DOMPIERRE FR",41900,182000,1,20000 - 49999,46.8519401550293,6.990228176116943
1733471005-82,VW CALI. TDI BEA.ED. SP. A,CHF 67'000.–,14'300 km,Diesel,"SPISI 9, 1714 HEITENRIED",67000,14300,1,50000 - 99999,46.82259750366211,7.301876544952393
1733471007-83,FIAT CHALLENGER TRIGANO,CHF 17'990.–,224'000 km,Diesel,"RUE DU LEVANT 21, 1963 VÉTROZ",17990,224000,1,0 - 19999,46.222537994384766,7.293209552764893
1733471010-84,FIAT DUCATO 15Q 2.8 JTD,CHF 19'500.–,115'000 km,Diesel,"GEWERBESTRASSE 16, 4562 BIBERIST",19500,115000,1,0 - 19999,47.18832778930664,7.554986000061035
1733471017-86,TOYOTA 4X4 UNTERSETZUNG,CHF 34'800.–,16'700 km,Benzin,"DORF 10, 9127 ST. PETERZELL",34800,16700,0,20000 - 49999,47.31846237182617,9.172804832458496
1733471019-87,ROLLER TEAM KRONOS 265 TL7,CHF 62'870.–,38'850 km,Diesel,"HAUPTSTRASSE 70, 8546 ISLIKON",62870,38850,1,50000 - 99999,47.54833221435547,8.849271774291992
