web-scraper-order,description_raw,location_raw,price_raw,price,mileage_raw,mileage,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733473562-688,"IVECO 4x4 Sperre 2,8l","Dorf 10, 9127 St. Peterzell",CHF 28'300.–,28300,66'000 km,66000,Diesel,1,Bern,['02'],47.1424674987793,7.269237518310547
1733473570-690,"FORSTER T 738 EB, Fiat Ducato 2.3MJT 130PS","Hofackerstrasse 7, 9606 Bütschwil",CHF 49'900.–,49900,66'500 km,66500,Diesel,1,Thurgau,['20'],47.56113815307617,9.13205337524414
1733473579-691,VW T6 California 2.0 TDI Beach Edition 4Motion,7260 Davos Dorf,CHF 48'999.–,48999,79'500 km,79500,Diesel,1,Ticino,['21'],46.06210708618164,8.971177101135254
1733473583-692,MERCEDES-BENZ Viano Marco Polo 3.0 CDI L Aut.,1844 Villeneuve,CHF 40'000.–,40000,123'000 km,123000,Diesel,1,Zürich,['01'],47.37489318847656,8.486019134521484
1733473587-693,ADRIA Plus 670 DL,8126 zumikon,CHF 81'900.–,81900,19'000 km,19000,Diesel,1,Luzern,['03'],47.041748046875,8.326245307922363
1733473591-694,GIOTTILINE Siena 440,"Oberfeld 2, 6037 Root",CHF 55'600.–,55600,26'500 km,26500,Diesel,1,Solothurn,['11'],47.255470275878906,7.5764923095703125
1733473595-695,MERCEDES-BENZ Marco Polo 250 d Horizon 4matic,"Hackenrüti 10, 6110 Wolhusen",CHF 64'900.–,64900,33'000 km,33000,Diesel,1,Thurgau,['20'],47.56113815307617,9.13205337524414
1733473599-696,MERCEDES-BENZ Sprinter,8852 Altendorf,CHF 78'750.–,78750,55'000 km,55000,Diesel,1,Schaffhausen,['14'],47.741600036621094,8.709936141967773
1733473604-697,FIAT 14 2.5 tdi,1290 Versoix,CHF 14'900.–,14900,150'000 km,150000,Diesel,1,Schaffhausen,['14'],47.741600036621094,8.709936141967773
1733473607-698,"HYMER EXIS-T EX 588 2,3 DIESEL FIAT DUCATO MULTIJET 150","Zollstrasse 33, 8240 Thayngen(SH)",CHF 76'997.–,76997,36'885 km,36885,Diesel,1,Schaffhausen,['14'],47.741600036621094,8.709936141967773
1733473619-700,NIESMANN + BISCHOFF Fiat Ducato 2.8 JTD - Klima - 2 x Drehstuhl -,6330 Cham,CHF 29'999.–,29999,82'000 km,82000,Diesel,1,St. Gallen,['17'],47.36394500732422,9.074725151062012
1733473622-701,KNAUS Fiat Ducato K 250 / 5  JTDI 2.2  -,6330 Cham,CHF 36'900.–,36900,109'938 km,109938,Diesel,1,Bern,['02'],46.77728271484375,7.579732418060303
1733473627-702,FIAT Knaus Box Star 600,6314 Unterägeri,CHF 36'000.–,36000,108'100 km,108100,Diesel,1,Basel-Landschaft,['13'],47.53197479248047,7.572474479675293
1733473631-703,MERCEDES-BENZ Horizon Mercedes-Benz 250 Marco Polo Horizon 4matic,"Hackenrüti 10, 6110 Wolhusen",CHF 64'900.–,64900,33'000 km,33000,Diesel,1,Aargau,['19'],47.34864044189453,8.334813117980957
1733473636-704,VW AMAROK,3116 Kirchdorf,CHF 45'600.–,45600,89'000 km,89000,Diesel,1,Bern,['02'],46.75524139404297,7.585941791534424
1733473641-705,VW T6 California 2.0 TDI Beach Liberty,"Bifang 8, 4665 Oftringen",CHF 45'850.–,45850,61'990 km,61990,Diesel,1,Basel-Stadt,['12'],47.56196975708008,7.573602199554443
1733473646-706,BAVARIA,2916 Fahy,CHF 49'000.–,49000,89'000 km,89000,Diesel,1,Graubünden,['18'],46.945716857910156,9.5796537399292
1733473649-707,VW T6.1 California 2.0 Bi-TDI Ocean Edition Liberty 4Motion,4443 Wittinsburg,CHF 76'500.–,76500,33'000 km,33000,Diesel,1,Solothurn,['11'],47.310760498046875,7.847932815551758
1733473652-708,VW VW T6 2.0 TDI 4Motion mit Luftfederung/autom. Ausnivellierung,6983 Magliaso,CHF 48'500.–,48500,60'170 km,60170,Diesel,1,Schwyz,['05'],46.99639129638672,8.619549751281738
1733473656-709,VW T6 California 2.0 TDI Beach Liberty 4Motion,"Sinserstrasse 400, 6330 Cham ZG",CHF 29'990.–,29990,194'000 km,194000,Diesel,1,Aargau,['19'],47.285640716552734,7.9482502937316895
1733473660-710,VW T6.1 California 2.0 Bi-TDI Beach 4Motion,6968 Sonvico,CHF 69'000.–,69000,30'000 km,30000,Diesel,1,Valais,['23'],46.14239501953125,7.159271240234375
1733473667-711,NIESMANN + BISCHOFF Arto 76LE,1896 Vouvry,CHF 84'000.–,84000,45'000 km,45000,Diesel,1,St. Gallen,['17'],47.395084381103516,9.59544849395752
1733473670-712,VW T6.1 California 3000 2.0 TDI 204 Ocean DSG 4m,"Kernserstrasse 29, 6060 Sarnen",CHF 65'900.–,65900,45'600 km,45600,Diesel,1,Schwyz,['05'],47.19073486328125,8.869291305541992
1733473673-713,FIAT Chausson Titanium Langsbett mit Hubbett Dieselheizung,"Oberfeldstrasse 13, 8570 Weinfelden",CHF 37'900.–,37900,73'550 km,73550,Diesel,1,Basel-Landschaft,['13'],47.55506134033203,7.553959846496582
1733473676-714,FIAT Tec Compack Van Langsbett Nutzlast 760 Kg,"Oberfeldstrasse 13, 8570 Weinfelden",CHF 29'900.–,29900,160'400 km,160400,Diesel,1,Fribourg,['10'],46.96296691894531,7.148182392120361
1733473679-715,PILOTE P716 - solar- Fiat Ducato 2.3 150 MULTIJET -Ganzjahresreifen,4226 Breitenbach,CHF 51'999.–,51999,47'000 km,47000,Diesel,1,Luzern,['03'],47.07497024536133,8.270981788635254
1733473683-716,ADRIA 660 SP,"Kantonsstrasse 20, 3940 Steg",CHF 34'900.–,34900,136'800 km,136800,Diesel,1,Solothurn,['11'],47.213382720947266,7.48664665222168
1733473687-717,ROLLER TEAM Fiat Kronos 290M,"Mettstrasse 113, 2504 Biel/Bienne",CHF 75'800.–,75800,13'990 km,13990,Diesel,1,Bern,['02'],46.7801399230957,7.635182857513428
1733473691-718,"FIAT Adria Twin 3,0 Liter  Automat 160 PS","Oberfeldstrasse 13, 8570 Weinfelden",CHF 34'899.–,34899,121'500 km,121500,Diesel,1,Thurgau,['20'],47.55992126464844,8.849560737609863
